,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
296,235000.0,2 bedroom apartment for sale,"23 Church Street, Northern Quarter, Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-77720426.html,http://www.rightmove.co.uk/estate-agents/agent/Thornley-Groves/Manchester-Southern-Gateway-12532.html,M4,2,2019-02-12 13:46:51.052714
297,235000.0,1 bedroom duplex for sale,"Whitworth Street West, Manchester",http://www.rightmove.co.uk/property-for-sale/property-78939536.html,http://www.rightmove.co.uk/estate-agents/agent/Sherlock-Homes-Properties-Ltd/Chorlton-8304.html,,1,2019-02-12 13:46:51.052714
298,235000.0,2 bedroom maisonette for sale,"39 City Road East, Manchester, M15",http://www.rightmove.co.uk/property-for-sale/property-75782372.html,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Manchester-65289.html,M15,2,2019-02-12 13:46:51.052714
299,235000.0,2 bedroom apartment for sale,"Brewer Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-75446153.html,http://www.rightmove.co.uk/estate-agents/agent/Ascend/Manchester-90769.html,,2,2019-02-12 13:46:51.052714
300,354950.0,2 bedroom duplex for sale,"Mason Street, Manchester, Greater Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-56818107.html,http://www.rightmove.co.uk/estate-agents/agent/Cushman-and-Wakefield/Manchester-182387.html,M4,2,2019-02-12 13:46:51.052714
301,235000.0,2 bedroom apartment for sale,"Brewer Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-75446153.html,http://www.rightmove.co.uk/estate-agents/agent/Ascend/Manchester-90769.html,,2,2019-02-12 13:46:51.052714
302,233463.0,1 bedroom apartment for sale,"Exchange Point, Chapel Street, Salford, M3 7NH",http://www.rightmove.co.uk/property-for-sale/property-72958559.html,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Manchester-12293.html,M3,1,2019-02-12 13:46:51.052714
303,232500.0,2 bedroom apartment for sale,Houldsworth Street,http://www.rightmove.co.uk/property-for-sale/property-53028282.html,http://www.rightmove.co.uk/estate-agents/agent/Move-On-Estate-Agents/Bolton-103655.html,,2,2019-02-12 13:46:51.052714
304,230000.0,2 bedroom apartment for sale,"Skyline, Goulden Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-66008578.html,http://www.rightmove.co.uk/estate-agents/agent/Philip-James-Manchester/Sales-69586.html,,2,2019-02-12 13:46:51.052714
305,230000.0,2 bedroom flat for sale,"2 Munday Street, Manchester, Greater Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-67474733.html,http://www.rightmove.co.uk/estate-agents/agent/Bridgfords/Manchester-102.html,M4,2,2019-02-12 13:46:51.052714
306,230000.0,3 bedroom apartment for sale,"NQ4, 2a Naval Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-66127270.html,http://www.rightmove.co.uk/estate-agents/agent/Philip-James-Manchester/Sales-69586.html,NQ4,3,2019-02-12 13:46:51.052714
307,230000.0,2 bedroom apartment for sale,"High Street,  Manchester,  M4 ",http://www.rightmove.co.uk/property-for-sale/property-78638954.html,http://www.rightmove.co.uk/estate-agents/agent/Browns-and-Co-Property/Liverpool-130726.html,M4,2,2019-02-12 13:46:51.052714
308,230000.0,2 bedroom apartment for sale,"Skyline Central, 50 Goulden Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-53831709.html,http://www.rightmove.co.uk/estate-agents/agent/Philip-James-Manchester/Sales-69586.html,,2,2019-02-12 13:46:51.052714
309,230000.0,2 bedroom flat for sale,"Church Street, Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-75025433.html,http://www.rightmove.co.uk/estate-agents/agent/Reeds-Rains/Manchester-15260.html,M4,2,2019-02-12 13:46:51.052714
310,230000.0,2 bedroom flat for sale,"Rossetti Place, 2 Lower Byrom Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-59522412.html,http://www.rightmove.co.uk/estate-agents/agent/Jordan-Fishwick/Manchester-49832.html,,2,2019-02-12 13:46:51.052714
311,230000.0,2 bedroom apartment for sale,"39 Potato Wharf, Manchester",http://www.rightmove.co.uk/property-for-sale/property-56951727.html,http://www.rightmove.co.uk/estate-agents/agent/Philip-James-Manchester/Sales-69586.html,,2,2019-02-12 13:46:51.052714
312,230000.0,2 bedroom apartment for sale,"Hill Quays, Manchester City Centre, Manchester",http://www.rightmove.co.uk/property-for-sale/property-56323482.html,http://www.rightmove.co.uk/estate-agents/agent/Philip-James-Manchester/Sales-69586.html,,2,2019-02-12 13:46:51.052714
313,230000.0,2 bedroom flat for sale,"James Brindley Basin, Manchester, M1",http://www.rightmove.co.uk/property-for-sale/property-77263472.html,http://www.rightmove.co.uk/estate-agents/agent/Reeds-Rains/Manchester-15260.html,M1,2,2019-02-12 13:46:51.052714
314,230000.0,2 bedroom apartment for sale,"The Green Building, New Wakefield Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-77042576.html,http://www.rightmove.co.uk/estate-agents/agent/Premier-Residential-Lettings-Ltd/Manchester-120640.html,,2,2019-02-12 13:46:51.052714
315,230000.0,2 bedroom apartment for sale,"2 Munday Street, Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-78632009.html,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Manchester-65289.html,M4,2,2019-02-12 13:46:51.052714
316,230000.0,1 bedroom flat for sale,"Oxygen Tower, Manchester, M1",http://www.rightmove.co.uk/property-for-sale/property-68569234.html,http://www.rightmove.co.uk/estate-agents/agent/Fraser-and-Co/New-Homes-99253.html,M1,1,2019-02-12 13:46:51.052714
317,230000.0,2 bedroom apartment for sale,"City South, City Road East, Manchester",http://www.rightmove.co.uk/property-for-sale/property-69288769.html,http://www.rightmove.co.uk/estate-agents/agent/Philip-James-Manchester/Sales-69586.html,,2,2019-02-12 13:46:51.052714
